time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0
2,0,2,0,5,0.7904862658184875,1,1,0.0
3,0,3,5,10,0.6942983738307293,2,1,0.0
4,0,4,5,15,0.609814809881446,3,1,0.0
5,-1,0,0,0,0.0,0,0,
6,1,1,5,5,0.4,1,0,6.0
7,1,2,0,5,0.3513272292526611,1,1,6.0
8,1,3,0,5,0.30857705503587973,1,2,6.0
9,1,4,0,5,0.2710288043917538,1,3,6.0
10,1,5,5,10,0.23804949723654079,2,3,6.0
11,1,6,0,10,0.2090831757227572,2,4,6.0
12,1,7,5,15,0.18364153202505884,3,4,6.0
13,-1,0,0,0,0.0,0,0,
