time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,5,15,0.6942983738307293,3,0,0.0,0.0
4,0,4,0,15,0.609814809881446,3,1,1.0,0.0
5,0,5,5,20,0.5356113687822168,4,1,0.0,0.0
6,0,6,0,20,0.4704371453762037,4,2,1.0,0.0
7,0,7,0,20,0.4131934470563824,4,3,2.0,0.0
8,0,8,5,25,0.36291527224918735,5,3,0.0,0.0
9,0,9,0,25,0.3187550426319553,5,4,1.0,0.0
10,0,10,0,25,0.27996831484549684,5,5,2.0,0.0
11,0,11,0,25,0.2459012308330126,5,6,3.0,0.0
12,0,12,5,30,0.21597949524595342,6,6,0.0,0.0
13,0,13,0,30,0.18969869410037274,6,7,1.0,0.0
14,0,14,0,30,0.16661579147783018,6,8,2.0,0.0
15,0,15,0,30,0.14634166092411305,6,9,3.0,0.0
16,0,16,0,30,0.12853452564175263,6,10,4.0,0.0
17,0,17,0,30,0.11289419689255517,6,11,5.0,0.0
18,0,18,0,30,0.09915701348241447,6,12,6.0,0.0
21,-1,3,0,0,0.0,0,0,,
22,1,1,0,0,0.4,0,1,1.0,21.0
25,-1,3,0,0,0.0,0,0,,
26,0,1,5,5,0.9,1,0,0.0,25.0
27,0,2,0,5,0.7904862658184875,1,1,1.0,25.0
28,0,3,0,5,0.6942983738307293,1,2,2.0,25.0
31,-1,3,0,0,0.0,0,0,,
32,1,1,0,0,0.4,0,1,1.0,31.0
35,-1,3,0,0,0.0,0,0,,
36,1,1,0,0,0.4,0,1,1.0,35.0
39,-1,3,0,0,0.0,0,0,,
40,0,1,5,5,0.9,1,0,0.0,39.0
41,0,2,5,10,0.7904862658184875,2,0,0.0,39.0
42,0,3,5,15,0.6942983738307293,3,0,0.0,39.0
43,0,4,5,20,0.609814809881446,4,0,0.0,39.0
44,0,5,5,25,0.5356113687822168,5,0,0.0,39.0
45,0,6,0,25,0.4704371453762037,5,1,1.0,39.0
46,0,7,0,25,0.4131934470563824,5,2,2.0,39.0
47,0,8,0,25,0.36291527224918735,5,3,3.0,39.0
48,0,9,0,25,0.3187550426319553,5,4,4.0,39.0
49,0,10,0,25,0.27996831484549684,5,5,5.0,39.0
50,0,11,0,25,0.2459012308330126,5,6,6.0,39.0
51,0,12,0,25,0.21597949524595342,5,7,7.0,39.0
52,0,13,0,25,0.18969869410037274,5,8,8.0,39.0
53,0,14,5,30,0.16661579147783018,6,8,0.0,39.0
54,0,15,0,30,0.14634166092411305,6,9,1.0,39.0
