time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,0,10,0.6942983738307293,2,1,1.0,0.0
4,0,4,0,10,0.609814809881446,2,2,2.0,0.0
7,-1,3,0,0,0.0,0,0,,
8,1,1,5,5,0.4,1,0,0.0,7.0
9,1,2,0,5,0.3513272292526611,1,1,1.0,7.0
10,1,3,0,5,0.30857705503587973,1,2,2.0,7.0
13,-1,3,0,0,0.0,0,0,,
14,0,1,5,5,0.9,1,0,0.0,13.0
15,0,2,5,10,0.7904862658184875,2,0,0.0,13.0
16,0,3,5,15,0.6942983738307293,3,0,0.0,13.0
17,0,4,5,20,0.609814809881446,4,0,0.0,13.0
18,0,5,5,25,0.5356113687822168,5,0,0.0,13.0
19,0,6,5,30,0.4704371453762037,6,0,0.0,13.0
20,0,7,0,30,0.4131934470563824,6,1,1.0,13.0
21,0,8,0,30,0.36291527224918735,6,2,2.0,13.0
24,-1,3,0,0,0.0,0,0,,
25,1,1,0,0,0.4,0,1,1.0,24.0
26,1,2,0,0,0.3513272292526611,0,2,2.0,24.0
29,-1,3,0,0,0.0,0,0,,
30,1,1,5,5,0.4,1,0,0.0,29.0
31,1,2,0,5,0.3513272292526611,1,1,1.0,29.0
32,1,3,0,5,0.30857705503587973,1,2,2.0,29.0
35,-1,3,0,0,0.0,0,0,,
36,0,1,5,5,0.9,1,0,0.0,35.0
37,0,2,5,10,0.7904862658184875,2,0,0.0,35.0
38,0,3,5,15,0.6942983738307293,3,0,0.0,35.0
39,0,4,5,20,0.609814809881446,4,0,0.0,35.0
40,0,5,0,20,0.5356113687822168,4,1,1.0,35.0
41,0,6,5,25,0.4704371453762037,5,1,0.0,35.0
42,0,7,5,30,0.4131934470563824,6,1,0.0,35.0
43,0,8,0,30,0.36291527224918735,6,2,1.0,35.0
44,0,9,0,30,0.3187550426319553,6,3,2.0,35.0
47,-1,3,0,0,0.0,0,0,,
48,1,1,5,5,0.4,1,0,0.0,47.0
49,1,2,0,5,0.3513272292526611,1,1,1.0,47.0
50,1,3,0,5,0.30857705503587973,1,2,2.0,47.0
53,-1,3,0,0,0.0,0,0,,
54,1,1,0,0,0.4,0,1,1.0,53.0
55,1,2,0,0,0.3513272292526611,0,2,2.0,53.0
58,-1,3,0,0,0.0,0,0,,
59,0,1,5,5,0.9,1,0,0.0,58.0
60,0,2,5,10,0.7904862658184875,2,0,0.0,58.0
61,0,3,5,15,0.6942983738307293,3,0,0.0,58.0
62,0,4,0,15,0.609814809881446,3,1,1.0,58.0
