time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,5,10,0.7904862658184875,2,0,0.0,0.0
3,0,3,5,15,0.6942983738307293,3,0,0.0,0.0
4,0,4,0,15,0.609814809881446,3,1,1.0,0.0
7,-1,3,0,0,0.0,0,0,,
8,1,1,0,0,0.4,0,1,1.0,7.0
11,-1,3,0,0,0.0,0,0,,
12,0,1,5,5,0.9,1,0,0.0,11.0
13,0,2,5,10,0.7904862658184875,2,0,0.0,11.0
14,0,3,0,10,0.6942983738307293,2,1,1.0,11.0
17,-1,3,0,0,0.0,0,0,,
18,1,1,5,5,0.4,1,0,0.0,17.0
19,1,2,0,5,0.3513272292526611,1,1,1.0,17.0
22,-1,3,0,0,0.0,0,0,,
23,1,1,0,0,0.4,0,1,1.0,22.0
26,-1,3,0,0,0.0,0,0,,
27,0,1,5,5,0.9,1,0,0.0,26.0
28,0,2,5,10,0.7904862658184875,2,0,0.0,26.0
29,0,3,5,15,0.6942983738307293,3,0,0.0,26.0
30,0,4,0,15,0.609814809881446,3,1,1.0,26.0
33,-1,3,0,0,0.0,0,0,,
34,1,1,0,0,0.4,0,1,1.0,33.0
37,-1,3,0,0,0.0,0,0,,
38,1,1,5,5,0.4,1,0,0.0,37.0
39,1,2,5,10,0.3513272292526611,2,0,0.0,37.0
40,1,3,5,15,0.30857705503587973,3,0,0.0,37.0
41,1,4,5,20,0.2710288043917538,4,0,0.0,37.0
42,1,5,5,25,0.23804949723654079,5,0,0.0,37.0
43,1,6,0,25,0.2090831757227572,5,1,1.0,37.0
46,-1,3,0,0,0.0,0,0,,
47,0,1,5,5,0.9,1,0,0.0,46.0
48,0,2,5,10,0.7904862658184875,2,0,0.0,46.0
49,0,3,5,15,0.6942983738307293,3,0,0.0,46.0
50,0,4,5,20,0.609814809881446,4,0,0.0,46.0
51,0,5,0,20,0.5356113687822168,4,1,1.0,46.0
54,-1,3,0,0,0.0,0,0,,
55,1,1,0,0,0.4,0,1,1.0,54.0
58,-1,3,0,0,0.0,0,0,,
59,0,1,5,5,0.9,1,0,0.0,58.0
60,0,2,5,10,0.7904862658184875,2,0,0.0,58.0
61,0,3,5,15,0.6942983738307293,3,0,0.0,58.0
62,0,4,5,20,0.609814809881446,4,0,0.0,58.0
63,0,5,0,20,0.5356113687822168,4,1,1.0,58.0
66,-1,3,0,0,0.0,0,0,,
67,1,1,5,5,0.4,1,0,0.0,66.0
68,1,2,5,10,0.3513272292526611,2,0,0.0,66.0
69,1,3,5,15,0.30857705503587973,3,0,0.0,66.0
70,1,4,0,15,0.2710288043917538,3,1,1.0,66.0
73,-1,3,0,0,0.0,0,0,,
74,1,1,0,0,0.4,0,1,1.0,73.0
77,-1,3,0,0,0.0,0,0,,
78,1,1,0,0,0.4,0,1,1.0,77.0
81,-1,3,0,0,0.0,0,0,,
82,0,1,5,5,0.9,1,0,0.0,81.0
83,0,2,5,10,0.7904862658184875,2,0,0.0,81.0
84,0,3,5,15,0.6942983738307293,3,0,0.0,81.0
85,0,4,0,15,0.609814809881446,3,1,1.0,81.0
88,-1,3,0,0,0.0,0,0,,
89,0,1,0,0,0.9,0,1,1.0,88.0
92,-1,3,0,0,0.0,0,0,,
93,1,1,0,0,0.4,0,1,1.0,92.0
96,-1,3,0,0,0.0,0,0,,
97,1,1,0,0,0.4,0,1,1.0,96.0
100,-1,3,0,0,0.0,0,0,,
101,1,1,0,0,0.4,0,1,1.0,100.0
104,-1,3,0,0,0.0,0,0,,
105,0,1,5,5,0.9,1,0,0.0,104.0
106,0,2,5,10,0.7904862658184875,2,0,0.0,104.0
107,0,3,5,15,0.6942983738307293,3,0,0.0,104.0
108,0,4,5,20,0.609814809881446,4,0,0.0,104.0
109,0,5,5,25,0.5356113687822168,5,0,0.0,104.0
110,0,6,5,30,0.4704371453762037,6,0,0.0,104.0
111,0,7,0,30,0.4131934470563824,6,1,1.0,104.0
114,-1,3,0,0,0.0,0,0,,
