time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,consecutive_failures,patch_entry_time
1,0,1,5,5,0.9,1,0,0.0,0.0
2,0,2,0,5,0.7904862658184875,1,1,1.0,0.0
3,0,3,0,5,0.6942983738307293,1,2,2.0,0.0
4,0,4,5,10,0.609814809881446,2,2,0.0,0.0
5,0,5,0,10,0.5356113687822168,2,3,1.0,0.0
6,0,6,5,15,0.4704371453762037,3,3,0.0,0.0
7,0,7,5,20,0.4131934470563824,4,3,0.0,0.0
8,0,8,5,25,0.36291527224918735,5,3,0.0,0.0
11,-1,3,0,0,0.0,0,0,,
12,1,1,5,5,0.4,1,0,0.0,11.0
13,1,2,5,10,0.3513272292526611,2,0,0.0,11.0
16,-1,3,0,0,0.0,0,0,,
17,0,1,5,5,0.9,1,0,0.0,16.0
18,0,2,5,10,0.7904862658184875,2,0,0.0,16.0
19,0,3,0,10,0.6942983738307293,2,1,1.0,16.0
20,0,4,5,15,0.609814809881446,3,1,0.0,16.0
21,0,5,5,20,0.5356113687822168,4,1,0.0,16.0
22,0,6,0,20,0.4704371453762037,4,2,1.0,16.0
23,0,7,5,25,0.4131934470563824,5,2,0.0,16.0
24,0,8,0,25,0.36291527224918735,5,3,1.0,16.0
27,-1,3,0,0,0.0,0,0,,
28,1,1,0,0,0.4,0,1,1.0,27.0
29,1,2,5,5,0.3513272292526611,1,1,0.0,27.0
32,-1,3,0,0,0.0,0,0,,
33,1,1,5,5,0.4,1,0,0.0,32.0
34,1,2,5,10,0.3513272292526611,2,0,0.0,32.0
37,-1,3,0,0,0.0,0,0,,
38,0,1,5,5,0.9,1,0,0.0,37.0
39,0,2,5,10,0.7904862658184875,2,0,0.0,37.0
40,0,3,5,15,0.6942983738307293,3,0,0.0,37.0
41,0,4,5,20,0.609814809881446,4,0,0.0,37.0
42,0,5,5,25,0.5356113687822168,5,0,0.0,37.0
43,0,6,0,25,0.4704371453762037,5,1,1.0,37.0
44,0,7,0,25,0.4131934470563824,5,2,2.0,37.0
45,0,8,0,25,0.36291527224918735,5,3,3.0,37.0
48,-1,3,0,0,0.0,0,0,,
49,1,1,0,0,0.4,0,1,1.0,48.0
50,1,2,0,0,0.3513272292526611,0,2,2.0,48.0
53,-1,3,0,0,0.0,0,0,,
54,1,1,0,0,0.4,0,1,1.0,53.0
55,1,2,5,5,0.3513272292526611,1,1,0.0,53.0
58,-1,3,0,0,0.0,0,0,,
59,0,1,0,0,0.9,0,1,1.0,58.0
60,0,2,5,5,0.7904862658184875,1,1,0.0,58.0
61,0,3,0,5,0.6942983738307293,1,2,1.0,58.0
62,0,4,5,10,0.609814809881446,2,2,0.0,58.0
63,0,5,5,15,0.5356113687822168,3,2,0.0,58.0
64,0,6,5,20,0.4704371453762037,4,2,0.0,58.0
65,0,7,0,20,0.4131934470563824,4,3,1.0,58.0
66,0,8,5,25,0.36291527224918735,5,3,0.0,58.0
69,-1,3,0,0,0.0,0,0,,
70,1,1,0,0,0.4,0,1,1.0,69.0
71,1,2,5,5,0.3513272292526611,1,1,0.0,69.0
74,-1,3,0,0,0.0,0,0,,
75,0,1,5,5,0.9,1,0,0.0,74.0
76,0,2,5,10,0.7904862658184875,2,0,0.0,74.0
77,0,3,5,15,0.6942983738307293,3,0,0.0,74.0
78,0,4,5,20,0.609814809881446,4,0,0.0,74.0
79,0,5,5,25,0.5356113687822168,5,0,0.0,74.0
80,0,6,5,30,0.4704371453762037,6,0,0.0,74.0
81,0,7,0,30,0.4131934470563824,6,1,1.0,74.0
82,0,8,0,30,0.36291527224918735,6,2,2.0,74.0
85,-1,3,0,0,0.0,0,0,,
