time,patch_id,time_in_patch,reward,cumulative_patch_reward,prob_reward,rewards_in_patch,failures_in_patch,patch_entry_time
1,1,1,2.0,2.0,0.4,1,0,0.0
2,1,2,1.7566361462633053,3.7566361462633053,0.3513272292526611,2,0,0.0
3,1,3,1.5428852751793987,5.299521421442704,0.30857705503587973,3,0,0.0
4,1,4,1.3551440219587692,6.654665443401473,0.2710288043917538,4,0,0.0
5,1,5,1.190247486182704,7.8449129295841775,0.23804949723654079,5,0,0.0
6,-1,0,0.0,0.0,0.0,0,0,
7,-1,0,0.0,0.0,0.0,0,0,
8,-1,0,0.0,0.0,0.0,0,0,
9,0,1,4.5,4.5,0.9,1,0,9.0
10,0,2,3.9524313290924376,8.452431329092438,0.7904862658184875,2,0,9.0
11,0,3,3.4714918691536467,11.923923198246085,0.6942983738307293,3,0,9.0
12,0,4,3.04907404940723,14.972997247653314,0.609814809881446,4,0,9.0
13,0,5,2.678056843911084,17.651054091564397,0.5356113687822168,5,0,9.0
14,-1,0,0.0,0.0,0.0,0,0,
15,-1,0,0.0,0.0,0.0,0,0,
16,-1,0,0.0,0.0,0.0,0,0,
17,0,1,4.5,4.5,0.9,1,0,17.0
18,0,2,3.9524313290924376,8.452431329092438,0.7904862658184875,2,0,17.0
19,0,3,3.4714918691536467,11.923923198246085,0.6942983738307293,3,0,17.0
20,0,4,3.04907404940723,14.972997247653314,0.609814809881446,4,0,17.0
21,0,5,2.678056843911084,17.651054091564397,0.5356113687822168,5,0,17.0
22,-1,0,0.0,0.0,0.0,0,0,
23,-1,0,0.0,0.0,0.0,0,0,
24,-1,0,0.0,0.0,0.0,0,0,
25,1,1,2.0,2.0,0.4,1,0,25.0
26,1,2,1.7566361462633053,3.7566361462633053,0.3513272292526611,2,0,25.0
27,1,3,1.5428852751793987,5.299521421442704,0.30857705503587973,3,0,25.0
28,1,4,1.3551440219587692,6.654665443401473,0.2710288043917538,4,0,25.0
29,1,5,1.190247486182704,7.8449129295841775,0.23804949723654079,5,0,25.0
30,-1,0,0.0,0.0,0.0,0,0,
31,-1,0,0.0,0.0,0.0,0,0,
32,-1,0,0.0,0.0,0.0,0,0,
33,1,1,2.0,2.0,0.4,1,0,33.0
34,1,2,1.7566361462633053,3.7566361462633053,0.3513272292526611,2,0,33.0
35,1,3,1.5428852751793987,5.299521421442704,0.30857705503587973,3,0,33.0
36,1,4,1.3551440219587692,6.654665443401473,0.2710288043917538,4,0,33.0
37,1,5,1.190247486182704,7.8449129295841775,0.23804949723654079,5,0,33.0
38,-1,0,0.0,0.0,0.0,0,0,
39,-1,0,0.0,0.0,0.0,0,0,
40,-1,0,0.0,0.0,0.0,0,0,
41,1,1,2.0,2.0,0.4,1,0,41.0
42,1,2,1.7566361462633053,3.7566361462633053,0.3513272292526611,2,0,41.0
43,1,3,1.5428852751793987,5.299521421442704,0.30857705503587973,3,0,41.0
44,1,4,1.3551440219587692,6.654665443401473,0.2710288043917538,4,0,41.0
45,1,5,1.190247486182704,7.8449129295841775,0.23804949723654079,5,0,41.0
46,-1,0,0.0,0.0,0.0,0,0,
47,-1,0,0.0,0.0,0.0,0,0,
48,-1,0,0.0,0.0,0.0,0,0,
49,1,1,2.0,2.0,0.4,1,0,49.0
50,1,2,1.7566361462633053,3.7566361462633053,0.3513272292526611,2,0,49.0
51,1,3,1.5428852751793987,5.299521421442704,0.30857705503587973,3,0,49.0
52,1,4,1.3551440219587692,6.654665443401473,0.2710288043917538,4,0,49.0
